"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"A2,A1";"MINI_360";2;"MINI_360";;;
2;"J5";"TerminalBlock_bornier-2_P5.08mm";1;"MOTOR4";;;
3;"H4,H3,H2,H1";"MountingHole_2.2mm_M2_DIN965_Pad";4;"MountingHole";;;
4;"A3";"ESP32-OLED";1;"ESP32-OLED";;;
5;"U1";"DIP-16_W10.16mm";1;"ULN2003A";;;
6;"SW1";"SW_PUSH-12mm";1;"PRG SWITCH";;;
7;"J4";"TerminalBlock_bornier-2_P5.08mm";1;"MOTOR3";;;
8;"J3";"TerminalBlock_bornier-2_P5.08mm";1;"MOTOR2";;;
9;"J2";"TerminalBlock_bornier-2_P5.08mm";1;"MOTOR1";;;
10;"D1";"D_5W_P12.70mm_Horizontal";1;"D";;;
11;"J1";"PinSocket_1x03_P2.54mm_Horizontal";1;"Conn_01x03_Female";;;
